#Temps	EA4
28.75	2.9012656705454
28.8	2.9012656705454
28.85	2.89627553336322
28.9	2.89627553336322
28.95	2.89627553336322
29	2.89627553336322
29.05	2.89627553336322
29.1	2.89627553336322
29.15	2.89627553336322
29.2	2.9012656705454
29.25	2.9012656705454
29.3	2.9012656705454
29.35	2.9012656705454
29.4	2.9012656705454
29.45	2.89627553336322
29.5	2.89128539618105
29.55	2.89627553336322
29.6	2.89627553336322
29.65	2.89128539618105
29.7	2.89627553336322
29.75	2.89627553336322
